@relation TrainMath

@attribute grademath numeric
@attribute math_term1 numeric
@attribute math_term2 numeric
@attribute math_term3 numeric
@attribute math_term4 numeric
@attribute math_term5 numeric
@attribute total numeric
@attribute onetmath {excellent,good,fair}

@data
2.5,3,1.5,4,3,1.5,3.12,good
3.7,4,3.5,4,4,3.5,3.74,excellent
3.85,2.5,3.5,4,3.5,1.5,3.71,good
2.85,2.5,2,3.5,3,1,3.14,fair
2.05,2.5,2.5,3,3,1,2.9,fair
2.9,2,1,3.5,2.5,1,3,fair
1.85,1.5,1.5,2,1.5,1,2.52,fair
3.05,3.5,3,2,2,1,3.06,fair
3.1,3.5,3.5,2.5,4,2.5,3.32,good
2.85,3.5,3.5,4,4,4,3.33,good
2.35,2,2,1,1,1,2.34,fair
2.3,2.5,3,2,2.5,2.5,2.93,fair
2.7,3,3,2.5,3.5,3,3.14,good
2.4,2,2.5,1.5,1,1,2.37,fair
2.4,2,2.5,2.5,2.5,1.5,2.91,fair
3,4,3.5,2.5,2.5,3,3.32,fair
2.4,2.5,2.5,1.5,2.5,2.5,3.03,fair
2.65,2.5,3.5,2.5,3,2.5,3.05,good
2.95,2.5,2.5,1.5,2,2.5,2.93,good
2.3,2.5,3,2.5,3.5,2,3.01,fair
2.6,2.5,3,2,2,1,2.78,fair
2.65,3.5,3,2,3.5,1,3.1,good
2.05,1,2.5,1.5,2,1,2.67,fair
2.25,3,3,2,2.5,1.5,2.94,fair
2.05,2,2,1.5,2,2,2.53,fair
2.65,2.5,2.5,1.5,2.5,2,2.79,good
2.45,3,2.5,1,2,1.5,2.78,fair
2.55,3,3,1.5,2,1,2.97,fair
3.4,4,4,3,4,3,3.59,excellent
3.35,4,3,4,4,2,3.57,good
3.1,2,3,2.5,2.5,2.5,3.11,fair
2.2,1.5,3,1.5,1.5,1,2.58,fair
3.5,3.5,3.5,3.5,4,2.5,3.56,good
2.8,3,2.5,3,3,1,3.2,fair
2.95,2.5,3,3,3.5,2,3.23,fair
2.5,2,3,2,2.5,1.5,3.04,fair
2.5,3,3.5,1.5,2.5,2,2.88,good
2.95,4,3,2,4,3.5,3.4,good
3.15,2.5,2.5,2.5,3.5,4,3.37,good
2.25,2,2.5,1.5,1.5,1,2.78,fair
2.85,3,3,3,2.5,4,3.16,good
3.05,3,3,2.5,3.5,3,3.32,good
3,3,3,2,2,1,3.1,fair
3.4,4,3.5,1.5,1.5,2,3.11,good
2.85,2.5,3.5,2,2.5,1,3.07,fair
2.6,2,3,2,2.5,1.5,2.96,fair
2.65,3.5,3,2,1.5,1,3.13,fair
3.55,4,3.5,2,4,2.5,3.61,good
2.4,3,3,2,1.5,2,2.81,good
2.85,4,3,1.5,1.5,2,3.02,fair
1.95,2,2.5,1.5,1,1.5,2.32,fair
2.15,3.5,4,3,2.5,2.5,2.85,fair
2.85,3,3.5,3,2.5,2.5,3.14,good
3.2,4,4,3.5,4,4,3.51,excellent
3.95,4,4,4,4,4,3.94,excellent
3.9,4,4,4,4,4,3.86,excellent
1.75,3,3,2.5,3.5,2.5,2.69,fair
2.55,4,3.5,3.5,4,4,3.33,excellent
3.65,3.5,4,3.5,4,4,3.68,excellent
2.8,4,4,4,3,4,3.14,excellent
2.25,4,4,4,4,4,3.2,excellent
2.45,3.5,4,2.5,2.5,2,3.07,good
3.4,4,3.5,4,2.5,3,3.45,excellent
4,4,4,4,4,4,3.9,excellent
3.5,4,4,4,3.5,4,3.75,excellent
3.95,4,4,4,4,4,3.88,excellent
3.95,4,4,4,4,4,3.92,excellent
3.8,4,4,4,4,4,3.9,excellent
3.95,4,4,4,4,4,3.99,excellent
3.5,4,4,4,4,2.5,3.61,excellent
4,4,4,4,4,4,4,excellent
3.85,4,4,4,4,4,3.93,excellent
3.9,4,4,4,4,4,3.92,excellent
3.8,3.5,4,4,3.5,3.5,3.83,excellent
3.75,4,4,4,3.5,3,3.67,excellent
3.6,4,4,4,4,4,3.86,excellent
3.7,4,4,4,4,4,3.82,excellent
3.95,4,4,4,4,4,3.92,excellent
3.3,3,3.5,4,3.5,2.5,3.48,good
3.95,4,4,4,4,4,3.92,excellent
3.1,3.5,3.5,3,2.5,2.5,3.41,good
3.9,4,4,4,4,4,3.92,excellent
3.8,4,4,4,4,4,3.88,excellent
4,4,4,4,4,4,3.98,excellent
2.7,2.5,4,4,3,4,2.87,excellent
2.65,2,3,2,2,2.5,2.73,good
3.15,2,2.5,2,2.5,2.5,3.01,good
2.8,2.5,3.5,2.5,2.5,3,2.9,good
3.3,3.5,4,4,3,4,3.49,good
3,3,3,3,2.5,2.5,3.39,good
3.65,4,4,4,4,4,3.7,excellent
2.1,2,2,1.5,1.5,2,2.3,fair
2.95,2,3.5,3.5,3,4,2.82,good
2.7,2,2.5,3,3,3,2.83,fair
3.35,2.5,4,3.5,3,3,3.13,good
3.25,3,3,3,2.5,3,3.18,fair
2.85,4,3.5,2,2,3,3.17,good
3.7,2.5,3,2.5,2.5,2.5,3.55,fair
3.9,2.5,4,4,3.5,4,3.84,excellent
3.15,2,2.5,2,2,2.5,3.15,fair
3.65,4,4,3,3,2.5,3.69,good
3.8,3,4,4,2.5,3.5,3.8,good
3.45,2,2.5,2,2.5,2.5,3.33,fair
3.8,4,4,4,3,3.5,3.82,excellent
2.8,2,2,2,2,2,3,fair
3.75,3,3,3,2.5,2.5,3.67,good
3.35,2.5,4,2.5,2.5,3,3.48,good
3.9,4,4,4,4,4,3.95,excellent
3.6,4,4,4,4,3.5,3.79,excellent
3.85,2,3.5,3,2,2.5,3.71,good
3.65,2.5,2.5,2.5,2,2.5,3.54,fair
3.65,3.5,4,3.5,3.5,3.5,3.57,excellent
3.6,4,4,4,4,4,3.83,excellent
2.15,2.5,2.5,1.5,1,1,2.66,fair
3.4,4,4,4,4,4,3.62,excellent
2.85,3,2.5,2,2.5,1,3.11,good
3.2,3.5,2.5,3.5,1,3.5,3.02,good
3.45,3.5,3,2.5,2.5,4,3.55,good
3.45,4,4,4,4,4,3.49,excellent
3.35,3.5,4,4,4,4,3.58,excellent
2.4,4,4,3.5,4,3,3.55,excellent
3,3,4,4,4,3.5,3.43,good
2.05,3,3,2.5,1.5,2,2.5,good
3.1,2.5,3,3.5,2,2.5,3.32,good
3.55,3.5,3,3,3,3.5,3.44,excellent
3.5,4,3,4,3.5,3.5,3.66,excellent
3.55,4,4,4,4,4,3.53,excellent
3.25,4,3,4,4,4,3.63,excellent
2.6,2,4,3,1.5,2,2.93,excellent
3.25,4,3,2,1.5,1.5,3.46,fair
2.85,2,2.5,1,2,1,3.1,fair
2.95,2.5,3,2.5,1.5,3,3.19,good
3.1,3.5,2.5,3.5,1.5,2.5,3.31,good
3.85,3.5,3.5,4,3,3,3.78,excellent
3.4,3.5,3,4,4,4,3.73,good
3.95,4,4,4,4,4,3.93,excellent
3.7,4,3,3,3,4,3.71,excellent
3.4,3.5,4,3,3,3.5,3.63,good
3.95,4,4,4,4,4,3.97,excellent
3.85,4,3.5,4,3.5,4,3.89,excellent
3.95,4,3,3.5,3,3.5,3.76,good
3.85,4,4,4,3.5,3.5,3.79,good
4,4,4,4,3.5,4,3.97,excellent
3.4,3.5,3,2.5,2,3,3.6,good
2.9,3.5,4,3.5,2.5,3.5,3.24,excellent
3.65,3.5,4,4,2.5,2.5,3.76,good
3.7,4,4,3.5,3.5,4,3.87,good
3.85,4,4,4,4,4,3.81,good
3.8,3.5,4,4,3.5,4,3.88,good
3.35,3,3,3,1.5,1,3.31,fair
3.7,3.5,3.5,4,2.5,4,3.66,excellent
3.5,4,3,3,2,3,3.68,good
3.8,4,3,4,4,4,3.89,excellent
3.45,2.5,3.5,3,1.5,1.5,3.38,good
3.65,3,3,3,2.5,2.5,3.69,good
3.85,3.5,3.5,3,2.5,2,3.74,good
3.9,4,4,4,4,4,3.95,excellent
3.5,3,3.5,3,1.5,3,3.62,good
3.05,3,4,3.5,3.5,4,3.46,excellent
3.65,4,3.5,4,3.5,3,3.62,good
3.6,4,4,4,4,4,3.65,excellent
3.75,4,4,3.5,4,4,3.77,excellent
3.2,4,4,3.5,4,4,3.51,excellent
3.55,4,4,4,4,3.5,3.76,excellent
3.65,4,4,4,4,4,3.83,excellent
3.35,4,4,4,4,4,3.45,excellent
3.55,4,4,4,4,4,3.82,excellent
2.85,4,3.5,3.5,3.5,3.5,3.29,good
3.95,4,4,4,4,4,3.98,excellent
4,4,4,4,4,4,3.99,excellent
3.9,4,4,4,4,4,3.95,excellent
3.8,4,4,4,4,4,3.87,excellent
4,4,4,4,4,4,4,excellent
3.8,4,4,4,4,4,3.92,excellent
3.55,4,4,4,4,4,3.71,excellent
3.95,4,4,4,4,4,3.97,excellent
4,4,4,4,4,4,3.99,excellent
3.95,4,4,4,4,4,3.95,excellent
2.75,3.5,4,4,2,2,2.9,good
4,4,4,4,4,4,4,excellent
3.85,4,4,4,4,4,3.9,excellent
3.9,4,4,4,4,4,3.89,excellent
3.15,4,4,3.5,4,4,3.65,excellent
4,4,4,4,4,4,3.98,excellent
3.95,4,4,4,4,4,3.97,excellent
3.85,4,4,4,4,4,3.95,excellent
2.8,3.5,3,2,3,2.5,2.8,good
3.1,3,2.5,2.5,2.5,3,3.05,fair
2.25,2,2.5,2,2,2,2.28,fair
2.9,2.5,3.5,3,3,2,3.1,good
2.7,3.5,4,2,3,2.5,2.89,good
2.95,2,2.5,2.5,3,2,2.98,good
2.95,3,3.5,2,3,2,2.9,good
3.55,3.5,3.5,3,4,3,3.34,excellent
3.55,4,4,4,4,4,3.58,excellent
