Thai,Math,Sci,Eng,Art,Social,Activity,Work,class
3.2,2.26,3.53,3.63,3.2,3.76,3.45,3.64,Social
3.7,3.62,3.73,3.94,3.8,3.9,3.85,4,general
2.6,1.8,2.8,3.06,3.4,3.26,3.35,3.71,general
3.9,3.12,3.38,3.78,3.7,3.98,3.6,3.93,Social
3.3,2.82,3.15,3.61,3.8,3.68,3.65,3.86,general
3.8,4,3.98,3.98,3.9,3.96,3.95,4,calculate
3.7,3.94,3.68,3.69,3.6,3.96,3.75,4,general
3.8,2.56,3.75,3.93,3.7,3.96,3.95,4,general
3.7,2.44,3.38,3.72,3.7,3.8,3.65,3.93,general
3.8,3.64,3.13,3.58,3.1,3.78,3.85,3.67,Social
3.9,4,3.7,3.48,3.7,4,3.95,3.92,calculate
2.2,1.74,2.28,2.28,2.6,3.12,3.6,3.5,Social
3.7,4,3.55,3.33,3,3.86,3.8,3.75,calculate
3.3,2.12,2.6,2.73,3.1,3.58,3.75,3.67,Social
2.5,2.64,3.28,3.75,2.3,2.5,3.6,3.58,language
3.8,3.1,3.38,3.2,3.3,3.9,3.9,3.83,Social
3.3,4,3.6,3.53,3,3.48,3.55,3.5,calculate
3.3,3.94,3.25,3.45,3.5,3.6,3.75,3.83,calculate
2.1,3.58,3.1,2.78,7.2,2.8,3.65,3.17,general
3.5,3.7,3.25,2.78,3.3,3.46,3.65,3.83,general
2.3,2.2,2.38,2.08,2.3,2.24,3.35,3.17,Social
3.4,2.78,3,2.95,3.4,3.7,3.5,3.83,general
3.5,3.08,2.98,3.58,3.2,3.82,3.7,3.67,Social
3.5,3.56,3.63,3.63,3.3,3.88,3.95,3.83,Social
3.5,3.96,3.5,3.5,3.3,3.42,3.8,3.25,calculate
3.7,3.88,3.55,2.95,3.4,3.72,4,3.83,Social
2.6,2.46,2.83,2.75,2.5,3.24,3.6,3.5,Social
4,2.44,3.08,2.85,3.4,3.94,4,4,language
3.5,1.82,2.83,2.48,3,3.72,3.85,3.58,Social
3,2.54,3.03,3.1,2.9,3.56,3.75,3.67,Social
3.7,2.58,3.25,2.78,2.8,3.9,3.9,3.58,Social
3.9,3.52,3.4,3.85,3.8,3.92,3.9,3.92,general
